name;offset;size;description;bitfield
...res;4640;16;;0
.cr;4640;1;;1
..mcr;4641;1;;1
..enr;4642;1;;1
..menr;4643;1;;1
..fuf;4644;1;;1
..nfemr;4645;1;;1
..femr;4646;1;;1
..aemn;4651;5;;1
...rppiosr;4656;24;;0
.curcs;4656;1;;1
..ccacs;4657;1;;1
..ccts;4658;1;;1
..iourcs;4664;1;;1
..iocacs;4665;1;;1
..iocts;4666;1;;1
..murcs;4672;1;;1
..mcacs;4673;1;;1
..mcts;4674;1;;1
...tlppl1;4680;32;;0
.dw1;4680;32;;1
...tlppl2;4712;32;;0
.dw2;4712;32;;1
...tlppl3;4744;32;;0
.dw3;4744;32;;1
...tlppl4;4776;32;;0
.dw4;4776;32;;1
...ues;4808;32;;0
.te;4808;1;;1
..dlpe;4812;1;;1
..sde;4813;1;;1
..pt;4820;1;;1
..fcpe;4821;1;;1
..ct;4822;1;;1
..ca;4823;1;;1
..uc;4824;1;;1
..ro;4825;1;;1
..mt;4826;1;;1
..ee;4827;1;;1
..ure;4828;1;;1
..avs;4829;1;;1
..uies;4830;1;;1
..mcbtlps;4831;1;;1
..aebs;4832;1;;1
..tlppbes;4833;1;;1
..ptlpebs;4834;1;;1
...pciests1;4840;32;;0
..pciests2;4872;32;;0
....completion_bit2;194;1;;0
...pcie1.port0.cfg.aecc;4904;16;;0
.fep;4904;5;;1
..egc;4909;1;;1
..ege;4910;1;;1
..ecc;4911;1;;1
..ece;4912;1;;1
..tlpplp;4915;1;;1
..ctphlc;4916;1;;1
...bwchgdbug;4920;32;;0
.lwcc;4920;8;;1
..lscc;4928;8;;1
..lwmc;4936;8;;1
..lsmc;4944;8;;1
...ces;4952;16;;0
.re;4952;1;;1
..bt;4958;1;;1
..bd;4959;1;;1
..rnr;4960;1;;1
..rtt;4964;1;;1
..anfes;4965;1;;1
..cies;4966;1;;1
..hlos;4967;1;;1
...dpcsr;4984;16;;0
.dpcts;4984;1;;1
..dpctr;4985;2;;1
..dpcis;4987;1;;1
..dpcrpb;4988;1;;1
..dpcte;4989;2;;1
..rppiofep;4992;5;;1
...esid;5000;32;;0
.ecsid;5000;16;;1
..efnfsid;5016;16;;1
...hl_dw1;5032;32;;0
.dw1;5032;32;;1
...hl_dw2;5064;32;;0
.dw2;5064;32;;1
...hl_dw3;5096;32;;0
.dw3;5096;32;;1
...hl_dw4;5128;32;;0
.dw4;5128;32;;1
...lnkdbug;5160;24;;0
.rrdnc;5160;4;;1
..rdirc;5164;4;;1
..rtlpcrcec;5168;4;;1
..nrtlpc;5172;4;;1
..lwcf;5176;2;;1
..scf;5178;2;;1
..ltf;5180;2;;1
...pciealc;5184;32;;0
.g3skposl;5184;9;;1
..acknakgh;5193;1;;1
..lpadllpgd;5194;1;;1
..clg3fe;5200;4;;1
..pdsp;5204;1;;1
..rtd3pdsp;5205;1;;1
..rrptlpc;5206;1;;1
..ssrrs;5207;1;;1
..ssrld;5208;1;;1
..blkdqdasd;5209;1;;1
..blkdqda;5210;1;;1
..blkpapc;5211;1;;1
..illrcld;5212;1;;1
..itlrcld;5213;1;;1
..dpchserm;5214;1;;1
..cssaif;5215;1;;1
...recdbug;5216;32;;0
.cree0;5216;4;;1
..cree1;5220;4;;1
..cree2;5224;4;;1
..cree3;5228;4;;1
..cree4;5232;4;;1
..cree5;5236;4;;1
..cree6;5240;4;;1
..cree7;5244;4;;1
...res;5248;16;;0
.cr;5248;1;;1
..mcr;5249;1;;1
..enr;5250;1;;1
..menr;5251;1;;1
..fuf;5252;1;;1
..nfemr;5253;1;;1
..femr;5254;1;;1
..aemn;5259;5;;1
...rppiosr;5264;24;;0
.curcs;5264;1;;1
..ccacs;5265;1;;1
..ccts;5266;1;;1
..iourcs;5272;1;;1
..iocacs;5273;1;;1
..iocts;5274;1;;1
..murcs;5280;1;;1
..mcacs;5281;1;;1
..mcts;5282;1;;1
...tlppl1;5288;32;;0
.dw1;5288;32;;1
...tlppl2;5320;32;;0
.dw2;5320;32;;1
...tlppl3;5352;32;;0
.dw3;5352;32;;1
...tlppl4;5384;32;;0
.dw4;5384;32;;1
...ues;5416;32;;0
.te;5416;1;;1
..dlpe;5420;1;;1
..sde;5421;1;;1
..pt;5428;1;;1
..fcpe;5429;1;;1
..ct;5430;1;;1
..ca;5431;1;;1
..uc;5432;1;;1
..ro;5433;1;;1
..mt;5434;1;;1
..ee;5435;1;;1
..ure;5436;1;;1
..avs;5437;1;;1
..uies;5438;1;;1
..mcbtlps;5439;1;;1
..aebs;5440;1;;1
..tlppbes;5441;1;;1
..ptlpebs;5442;1;;1
...pciests1;5448;32;;0
..pciests2;5480;32;;0
....port1.cfg.aecc;5512;16;;0
.fep;5512;5;;1
..egc;5517;1;;1
..ege;5518;1;;1
..ecc;5519;1;;1
..ece;5520;1;;1
..tlpplp;5523;1;;1
..ctphlc;5524;1;;1
...bwchgdbug;5528;32;;0
.lwcc;5528;8;;1
..lscc;5536;8;;1
..lwmc;5544;8;;1
..lsmc;5552;8;;1
...ces;5560;16;;0
.re;5560;1;;1
..bt;5566;1;;1
..bd;5567;1;;1
..rnr;5568;1;;1
..rtt;5572;1;;1
..anfes;5573;1;;1
..cies;5574;1;;1
..hlos;5575;1;;1
...dpcsr;5592;16;;0
.dpcts;5592;1;;1
..dpctr;5593;2;;1
..dpcis;5595;1;;1
..dpcrpb;5596;1;;1
..dpcte;5597;2;;1
..rppiofep;5600;5;;1
...esid;5608;32;;0
.ecsid;5608;16;;1
..efnfsid;5624;16;;1
...hl_dw1;5640;32;;0
.dw1;5640;32;;1
...hl_dw2;5672;32;;0
.dw2;5672;32;;1
...hl_dw3;5704;32;;0
.dw3;5704;32;;1
...hl_dw4;5736;32;;0
.dw4;5736;32;;1
...lnkdbug;5768;24;;0
.rrdnc;5768;4;;1
..rdirc;5772;4;;1
..rtlpcrcec;5776;4;;1
..nrtlpc;5780;4;;1
..lwcf;5784;2;;1
..scf;5786;2;;1
..ltf;5788;2;;1
...pciealc;5792;32;;0
.g3skposl;5792;9;;1
..acknakgh;5801;1;;1
..lpadllpgd;5802;1;;1
..clg3fe;5808;4;;1
..pdsp;5812;1;;1
..rtd3pdsp;5813;1;;1
..rrptlpc;5814;1;;1
..ssrrs;5815;1;;1
..ssrld;5816;1;;1
..blkdqdasd;5817;1;;1
..blkdqda;5818;1;;1
..blkpapc;5819;1;;1
..illrcld;5820;1;;1
..itlrcld;5821;1;;1
..dpchserm;5822;1;;1
..cssaif;5823;1;;1
...recdbug;5824;32;;0
.cree0;5824;4;;1
..cree1;5828;4;;1
..cree2;5832;4;;1
..cree3;5836;4;;1
..cree4;5840;4;;1
..cree5;5844;4;;1
..cree6;5848;4;;1
..cree7;5852;4;;1
...res;5856;16;;0
.cr;5856;1;;1
..mcr;5857;1;;1
..enr;5858;1;;1
..menr;5859;1;;1
..fuf;5860;1;;1
..nfemr;5861;1;;1
..femr;5862;1;;1
..aemn;5867;5;;1
...rppiosr;5872;24;;0
.curcs;5872;1;;1
..ccacs;5873;1;;1
..ccts;5874;1;;1
..iourcs;5880;1;;1
..iocacs;5881;1;;1
..iocts;5882;1;;1
..murcs;5888;1;;1
..mcacs;5889;1;;1
..mcts;5890;1;;1
...tlppl1;5896;32;;0
.dw1;5896;32;;1
...tlppl2;5928;32;;0
.dw2;5928;32;;1
...tlppl3;5960;32;;0
.dw3;5960;32;;1
...tlppl4;5992;32;;0
.dw4;5992;32;;1
...ues;6024;32;;0
.te;6024;1;;1
..dlpe;6028;1;;1
..sde;6029;1;;1
..pt;6036;1;;1
..fcpe;6037;1;;1
..ct;6038;1;;1
..ca;6039;1;;1
..uc;6040;1;;1
..ro;6041;1;;1
..mt;6042;1;;1
..ee;6043;1;;1
..ure;6044;1;;1
..avs;6045;1;;1
..uies;6046;1;;1
..mcbtlps;6047;1;;1
..aebs;6048;1;;1
..tlppbes;6049;1;;1
..ptlpebs;6050;1;;1
...pciests1;6056;32;;0
..pciests2;6088;32;;0
....port2.cfg.aecc;6120;16;;0
.fep;6120;5;;1
..egc;6125;1;;1
..ege;6126;1;;1
..ecc;6127;1;;1
..ece;6128;1;;1
..tlpplp;6131;1;;1
..ctphlc;6132;1;;1
...bwchgdbug;6136;32;;0
.lwcc;6136;8;;1
..lscc;6144;8;;1
..lwmc;6152;8;;1
..lsmc;6160;8;;1
...ces;6168;16;;0
.re;6168;1;;1
..bt;6174;1;;1
..bd;6175;1;;1
..rnr;6176;1;;1
..rtt;6180;1;;1
..anfes;6181;1;;1
..cies;6182;1;;1
..hlos;6183;1;;1
...dpcsr;6200;16;;0
.dpcts;6200;1;;1
..dpctr;6201;2;;1
..dpcis;6203;1;;1
..dpcrpb;6204;1;;1
..dpcte;6205;2;;1
..rppiofep;6208;5;;1
...esid;6216;32;;0
.ecsid;6216;16;;1
..efnfsid;6232;16;;1
...hl_dw1;6248;32;;0
.dw1;6248;32;;1
...hl_dw2;6280;32;;0
.dw2;6280;32;;1
...hl_dw3;6312;32;;0
.dw3;6312;32;;1
...hl_dw4;6344;32;;0
.dw4;6344;32;;1
...lnkdbug;6376;24;;0
.rrdnc;6376;4;;1
..rdirc;6380;4;;1
..rtlpcrcec;6384;4;;1
..nrtlpc;6388;4;;1
..lwcf;6392;2;;1
..scf;6394;2;;1
..ltf;6396;2;;1
...pciealc;6400;32;;0
.g3skposl;6400;9;;1
..acknakgh;6409;1;;1
..lpadllpgd;6410;1;;1
..clg3fe;6416;4;;1
..pdsp;6420;1;;1
..rtd3pdsp;6421;1;;1
..rrptlpc;6422;1;;1
..ssrrs;6423;1;;1
..ssrld;6424;1;;1
..blkdqdasd;6425;1;;1
..blkdqda;6426;1;;1
..blkpapc;6427;1;;1
..illrcld;6428;1;;1
..itlrcld;6429;1;;1
..dpchserm;6430;1;;1
..cssaif;6431;1;;1
...recdbug;6432;32;;0
.cree0;6432;4;;1
..cree1;6436;4;;1
..cree2;6440;4;;1
..cree3;6444;4;;1
..cree4;6448;4;;1
..cree5;6452;4;;1
..cree6;6456;4;;1
..cree7;6460;4;;1
...res;6464;16;;0
.cr;6464;1;;1
..mcr;6465;1;;1
..enr;6466;1;;1
..menr;6467;1;;1
..fuf;6468;1;;1
..nfemr;6469;1;;1
..femr;6470;1;;1
..aemn;6475;5;;1
...rppiosr;6480;24;;0
.curcs;6480;1;;1
..ccacs;6481;1;;1
..ccts;6482;1;;1
..iourcs;6488;1;;1
..iocacs;6489;1;;1
..iocts;6490;1;;1
..murcs;6496;1;;1
..mcacs;6497;1;;1
..mcts;6498;1;;1
...tlppl1;6504;32;;0
.dw1;6504;32;;1
...tlppl2;6536;32;;0
.dw2;6536;32;;1
...tlppl3;6568;32;;0
.dw3;6568;32;;1
...tlppl4;6600;32;;0
.dw4;6600;32;;1
...ues;6632;32;;0
.te;6632;1;;1
..dlpe;6636;1;;1
..sde;6637;1;;1
..pt;6644;1;;1
..fcpe;6645;1;;1
..ct;6646;1;;1
..ca;6647;1;;1
..uc;6648;1;;1
..ro;6649;1;;1
..mt;6650;1;;1
..ee;6651;1;;1
..ure;6652;1;;1
..avs;6653;1;;1
..uies;6654;1;;1
..mcbtlps;6655;1;;1
..aebs;6656;1;;1
..tlppbes;6657;1;;1
..ptlpebs;6658;1;;1
...pciests1;6664;32;;0
..pciests2;6696;32;;0
....port3.cfg.aecc;6728;16;;0
.fep;6728;5;;1
..egc;6733;1;;1
..ege;6734;1;;1
..ecc;6735;1;;1
..ece;6736;1;;1
..tlpplp;6739;1;;1
..ctphlc;6740;1;;1
...bwchgdbug;6744;32;;0
.lwcc;6744;8;;1
..lscc;6752;8;;1
..lwmc;6760;8;;1
..lsmc;6768;8;;1
...ces;6776;16;;0
.re;6776;1;;1
..bt;6782;1;;1
..bd;6783;1;;1
..rnr;6784;1;;1
..rtt;6788;1;;1
..anfes;6789;1;;1
..cies;6790;1;;1
..hlos;6791;1;;1
...dpcsr;6808;16;;0
.dpcts;6808;1;;1
..dpctr;6809;2;;1
..dpcis;6811;1;;1
..dpcrpb;6812;1;;1
..dpcte;6813;2;;1
..rppiofep;6816;5;;1
...esid;6824;32;;0
.ecsid;6824;16;;1
..efnfsid;6840;16;;1
...hl_dw1;6856;32;;0
.dw1;6856;32;;1
...hl_dw2;6888;32;;0
.dw2;6888;32;;1
...hl_dw3;6920;32;;0
.dw3;6920;32;;1
...hl_dw4;6952;32;;0
.dw4;6952;32;;1
...lnkdbug;6984;24;;0
.rrdnc;6984;4;;1
..rdirc;6988;4;;1
..rtlpcrcec;6992;4;;1
..nrtlpc;6996;4;;1
..lwcf;7000;2;;1
..scf;7002;2;;1
..ltf;7004;2;;1
...pciealc;7008;32;;0
.g3skposl;7008;9;;1
..acknakgh;7017;1;;1
..lpadllpgd;7018;1;;1
..clg3fe;7024;4;;1
..pdsp;7028;1;;1
..rtd3pdsp;7029;1;;1
..rrptlpc;7030;1;;1
..ssrrs;7031;1;;1
..ssrld;7032;1;;1
..blkdqdasd;7033;1;;1
..blkdqda;7034;1;;1
..blkpapc;7035;1;;1
..illrcld;7036;1;;1
..itlrcld;7037;1;;1
..dpchserm;7038;1;;1
..cssaif;7039;1;;1
...recdbug;7040;32;;0
.cree0;7040;4;;1
..cree1;7044;4;;1
..cree2;7048;4;;1
..cree3;7052;4;;1
..cree4;7056;4;;1
..cree5;7060;4;;1
..cree6;7064;4;;1
..cree7;7068;4;;1
...res;7072;16;;0
.cr;7072;1;;1
..mcr;7073;1;;1
..enr;7074;1;;1
..menr;7075;1;;1
..fuf;7076;1;;1
..nfemr;7077;1;;1
..femr;7078;1;;1
..aemn;7083;5;;1
...rppiosr;7088;24;;0
.curcs;7088;1;;1
..ccacs;7089;1;;1
..ccts;7090;1;;1
..iourcs;7096;1;;1
..iocacs;7097;1;;1
..iocts;7098;1;;1
..murcs;7104;1;;1
..mcacs;7105;1;;1
..mcts;7106;1;;1
...tlppl1;7112;32;;0
.dw1;7112;32;;1
...tlppl2;7144;32;;0
.dw2;7144;32;;1
...tlppl3;7176;32;;0
.dw3;7176;32;;1
...tlppl4;7208;32;;0
.dw4;7208;32;;1
...ues;7240;32;;0
.te;7240;1;;1
..dlpe;7244;1;;1
..sde;7245;1;;1
..pt;7252;1;;1
..fcpe;7253;1;;1
..ct;7254;1;;1
..ca;7255;1;;1
..uc;7256;1;;1
..ro;7257;1;;1
..mt;7258;1;;1
..ee;7259;1;;1
..ure;7260;1;;1
..avs;7261;1;;1
..uies;7262;1;;1
..mcbtlps;7263;1;;1
..aebs;7264;1;;1
..tlppbes;7265;1;;1
..ptlpebs;7266;1;;1
...pciests1;7272;32;;0
..pciests2;7304;32;;0
....completion_bit3;195;1;;0
...pcie2.port0.cfg.aecc;7336;16;;0
.fep;7336;5;;1
..egc;7341;1;;1
..ege;7342;1;;1
..ecc;7343;1;;1
