name;offset;size;description;bitfield
..req_type;7798;6;;0
..core_id;7804;2;;0
..status;7806;1;;0
...xq_115;7808;64;;0
.address;7808;52;;0
..opgrp;7860;2;;0
..req_type;7862;6;;0
..core_id;7868;2;;0
..status;7870;1;;0
...xq_116;7872;64;;0
.address;7872;52;;0
..opgrp;7924;2;;0
..req_type;7926;6;;0
..core_id;7932;2;;0
..status;7934;1;;0
...xq_117;7936;64;;0
.address;7936;52;;0
..opgrp;7988;2;;0
..req_type;7990;6;;0
..core_id;7996;2;;0
..status;7998;1;;0
...xq_118;8000;64;;0
.address;8000;52;;0
..opgrp;8052;2;;0
..req_type;8054;6;;0
..core_id;8060;2;;0
..status;8062;1;;0
...xq_119;8064;64;;0
.address;8064;52;;0
..opgrp;8116;2;;0
..req_type;8118;6;;0
..core_id;8124;2;;0
..status;8126;1;;0
...xq_120;8128;64;;0
.address;8128;52;;0
..opgrp;8180;2;;0
..req_type;8182;6;;0
..core_id;8188;2;;0
..status;8190;1;;0
...xq_121;8192;64;;0
.address;8192;52;;0
..opgrp;8244;2;;0
..req_type;8246;6;;0
..core_id;8252;2;;0
..status;8254;1;;0
...xq_122;8256;64;;0
.address;8256;52;;0
..opgrp;8308;2;;0
..req_type;8310;6;;0
..core_id;8316;2;;0
..status;8318;1;;0
...xq_123;8320;64;;0
.address;8320;52;;0
..opgrp;8372;2;;0
..req_type;8374;6;;0
..core_id;8380;2;;0
..status;8382;1;;0
...xq_124;8384;64;;0
.address;8384;52;;0
..opgrp;8436;2;;0
..req_type;8438;6;;0
..core_id;8444;2;;0
..status;8446;1;;0
...xq_125;8448;64;;0
.address;8448;52;;0
..opgrp;8500;2;;0
..req_type;8502;6;;0
..core_id;8508;2;;0
..status;8510;1;;0
...xq_126;8512;64;;0
.address;8512;52;;0
..opgrp;8564;2;;0
..req_type;8566;6;;0
..core_id;8572;2;;0
..status;8574;1;;0
...xq_127;8576;64;;0
.address;8576;52;;0
..opgrp;8628;2;;0
..req_type;8630;6;;0
..core_id;8636;2;;0
..status;8638;1;;0
....module_checksum;8640;64;;0
